Project  Name,Floor,product_id,Status ,Bedrooms,Bathrooms,View Orientation,Size per m sqaured,Initial Price (posted) in UF Chileno,Initial Price per m squared,Sold Price in UF Chileno,Sold Price per m squared,Region,Date
EDIFICIO PARQUE HIPODROMO,17,1707,Available,3,2,SW,70,4721,67.44,4721,67.44,Santiago,9/26/2022 18:45
EDIFICIO PARQUE HIPODROMO,17,1708,Sold,2,2,W,58,3343,57.64,3343,57.64,Santiago,7/21/2020
EDIFICIO SAN IGNACIO,17,1701,Sold,3,2,NE,68,3992,58.71,3992,58.71,Santiago,3/18/2020
EDIFICIO SAN IGNACIO,17,1702,Sold,2,1,N,49,2767,56.47,2767,56.47,Santiago,2/1/2019
EDIFICIO SAN IGNACIO,17,1703,Sold,2,2,N,56,3256,58.14,3256,58.14,Santiago,8/31/2020
EDIFICIO SAN IGNACIO,17,1704,Sold,3,2,NW,68,3700,54.41,3700,54.41,Santiago,10/21/2021
EDIFICIO SAN IGNACIO,17,1705,Sold,3,2,SW,68,3800,55.88,3800,55.88,Santiago,9/21/2021
EDIFICIO SAN IGNACIO,17,1706,Sold,2,2,S,55,3573,64.96,3573,64.96,Santiago,1/18/2021
EDIFICIO SAN IGNACIO,17,1707,Sold,2,1,S,47,2663,56.66,2663,56.66,Santiago,3/4/2019
EDIFICIO SAN IGNACIO,17,1708,Sold,3,2,SE,68,3800,55.88,3800,55.88,Santiago,8/17/2021
GRAN PACIFICO IV,17,1701,Available,2,2,NW,60,3913,65.22,3913,65.22,Santiago,5/17/2022 11:55
GRAN PACIFICO IV,17,1702,Available,1,1,W,44,3370,76.59,3370,76.59,Santiago,9/22/2021 14:46
GRAN PACIFICO IV,17,1703,Available,2,2,SW,60,3750,62.5,3750,62.5,Santiago,2/7/2020 15:43
GRAN PACIFICO IV,17,1704,Available,4,3,SE,97,5978,61.63,5978,61.63,Santiago,2/27/2022 20:45
GRAN PACIFICO IV,17,1705,Available,4,3,NE,97,6141,63.31,6141,63.31,Santiago,3/10/2020 2:36
MIRADOR DE LA RECOLETA,17,1701,Sold,3,2,NW,78,3715,47.63,3715,47.63,Santiago,1/11/2019
MIRADOR DE LA RECOLETA,17,1702,Sold,2,2,N,60,2767,46.12,2767,46.12,Santiago,1/11/2019
MIRADOR DE LA RECOLETA,17,1703,Sold,1,1,N,40,2200,55,2200,55,Santiago,1/11/2019
MIRADOR DE LA RECOLETA,17,1704,Sold,2,2,N,60,2948,49.13,2948,49.13,Santiago,1/11/2019
MIRADOR DE LA RECOLETA,17,1705,Sold,3,2,NE,78,3940,50.51,3940,50.51,Santiago,1/16/2019
MIRADOR DE LA RECOLETA,17,1706,Sold,3,2,SE,78,2995,38.4,2995,38.4,Santiago,1/11/2019
MIRADOR DE LA RECOLETA,17,1707,Sold,2,2,S,49,2459,50.18,2459,50.18,Santiago,1/11/2019
MIRADOR DE LA RECOLETA,17,1708,Sold,2,2,S,59,2700,45.76,2700,45.76,Santiago,1/11/2019
MIRADOR DE LA RECOLETA,17,1709,Sold,3,2,SW,78,3313,42.47,3313,42.47,Santiago,1/11/2019
VISTA PACIFICO,17,1701,Available,4,4,N,133,10326,77.64,10326,77.64,Norte,3/16/2022 15:45
VISTA PACIFICO,17,1702,Available,4,3,NW,147,11871,80.76,11871,80.76,Norte,2/17/2022 13:32
VISTA PACIFICO,17,1703,Available,4,3,SW,147,11141,75.79,,,Norte,
VISTA PACIFICO,17,1704,Available,4,4,S,133,9803,73.71,9803,73.71,Norte,1/9/2022 18:25
